Month,Peak,Average,,,,
Mar-25,"41,239,880","29,432,249",,,,
Feb-25,"39,924,077","29,005,674",,,,
Jan-25,"39,342,021","29,156,757",,,,
Dec-24,"39,319,632","28,859,638",,,,
Nov-24,"38,271,280","27,470,687",,,,
Oct-24,"38,104,203","26,629,014",,,,
Sep-24,"38,367,277","26,868,990",,,,
Aug-24,"37,266,324","26,968,657",,,,
Jul-24,"36,609,032","27,237,647",,,,
Jun-24,"36,928,521","26,686,320",,,,
May-24,"35,552,327","25,743,653",,,,
Apr-24,"36,300,119","25,619,541",,,,
Mar-24,"36,354,393","25,892,348",,,,
Feb-24,"33,393,132","24,764,753",,,,
Jan-24,"33,675,229","25,295,361",,,,
Dec-23,"32,669,308","24,437,669",,,,
Nov-23,"32,102,622","22,872,177",,,,
Oct-23,"31,364,841","22,243,182",,,,
Sep-23,"31,272,321","22,349,223",,,,
Aug-23,"29,888,596","22,409,686",,,,
Jul-23,"30,341,729","23,010,104",,,,
Jun-23,"32,159,998","23,406,348",,,,
May-23,"32,262,022","23,697,798",,,,
Apr-23,"33,397,566","24,174,559",,,,
Mar-23,"33,598,520","24,110,667",,,,
Feb-23,"33,159,010","24,454,210",,,,
Jan-23,"33,078,963","24,648,705",,,,
Dec-22,"31,602,926","24,127,910",,,,
Nov-22,"31,906,400","22,696,446",,,,
Oct-22,"30,239,878","21,679,906",,,,
Sep-22,"29,120,751",,,,,
Aug-22,"27,694,681",,,,,
Jul-22,"27,678,329",,,,,
Jun-22,"28,094,001",,,,,
May-22,"28,368,563",,,,,
Apr-22,"29,986,681",,,,,
Mar-22,"29,769,378",,,,,
Feb-22,"29,604,837",,,,,
Jan-22,"29,201,174",,,,,
Dec-21,"27,167,225",,,,,
Nov-21,"27,384,959",,,,,
Oct-21,"26,579,995",,,,,
Sep-21,"25,948,693",,,,,
Aug-21,"25,145,170",,,,,
Jul-21,"25,085,615",,,,,
Jun-21,"25,202,227",,,,,
May-21,"25,465,755",,,,,
Apr-21,"26,922,926",,,,,
Mar-21,"26,850,811",,,,,
Feb-21,"26,401,443",,,,,
Jan-21,"25,425,816",,,,,
Dec-20,"24,804,148",,,,,
Nov-20,"23,934,501",,,,,
Oct-20,"23,194,519",,,,,
Sep-20,"21,973,839",,,,,
Aug-20,"20,873,904",,,,,
Jul-20,"20,846,287",,,,,
Jun-20,"21,634,761",,,,,
May-20,"23,515,387",,,,,
Apr-20,"24,535,923",,,,,
Mar-20,"23,635,201",,,,,
Feb-20,"19,107,803",,,,,
Jan-20,"18,334,908",,,,,
Dec-19,"17,600,742",,,,,
Nov-19,"16,974,394",,,,,
Oct-19,"16,828,846",,,,,
Sep-19,"16,543,926",,,,,
Aug-19,"15,991,266",,,,,
Jul-19,"16,531,494",,,,,
Jun-19,"16,492,721",,,,,
May-19,"16,978,564",,,,,
Apr-19,"17,125,670",,,,,
Mar-19,"17,283,096",,,,,
Feb-19,"17,615,173",,,,,
Jan-19,"17,532,448",,,,,
Dec-18,"16,966,739",,,,,
Nov-18,"16,607,492",,,,,
Oct-18,"16,304,864",,,,,
Sep-18,"16,802,771",,,,,
Aug-18,"16,032,027",,,,,
Jul-18,"16,358,317",,,,,
Jun-18,"17,227,237",,,,,
May-18,"16,765,372",,,,,
Apr-18,"17,200,551",,,,,
Mar-18,"18,521,247",,,,,
Feb-18,"18,362,183",,,,,
Jan-18,"18,537,490",,,,,
Dec-17,"17,991,009",,,,,
Nov-17,"17,683,804",,,,,
Oct-17,"16,719,153",,,,,
Sep-17,"15,605,679",,,,,
Aug-17,"14,230,269",,,,,
Jul-17,"14,073,632",,,,,
Jun-17,"14,010,669",,,,,
May-17,"13,516,528",,,,,
Apr-17,"13,708,705",,,,,
Mar-17,"13,702,065",,,,,
Feb-17,"14,063,699",,,,,
Jan-17,"14,370,042",,,,,
Dec-16,"13,689,642",,,,,
Nov-16,"13,665,386",,,,,
Oct-16,"13,080,593",,,,,
Sep-16,"12,558,178",,,,,
Aug-16,"11,955,304",,,,,
Jul-16,"12,283,856",,,,,
Jun-16,"12,342,231",,,,,
May-16,"12,390,717",,,,,
Apr-16,"12,925,452",,,,,
Mar-16,"12,803,892",,,,,
Feb-16,"12,857,500",,,,,
Jan-16,"12,516,166",,,,,
Dec-15,"11,636,061",,,,,
Nov-15,"13,474,259",,,,,
Oct-15,"12,587,425",,,,,
Sep-15,"10,695,173",,,,,
Aug-15,"10,066,003",,,,,
Jul-15,"9,438,671",,,,,
Jun-15,"10,269,167",,,,,
May-15,"9,567,488",,,,,
Apr-15,"9,472,012",,,,,
Mar-15,"9,283,457",,,,,
Feb-15,"8,935,413",,,,,
Jan-15,"8,598,816",,,,,
,,,,,,
,,,,,,
