Month,Peak,Gain,% Gain,Average,Avg % Gain,In-Game Peak
Last 30 days,"40,490,922","-748,958",-1.80%,"29,034,233",-1.40%,"12,514,434"
Mar-25,"41,239,880","1,315,803",3.30%,"29,432,249",1.50%,"13,194,690"
Feb-25,"39,924,077","582,056",1.50%,"29,005,674",-0.50%,"12,288,438"
Jan-25,"39,342,021","22,389",0.10%,"29,156,757",1.00%,"12,485,275"
Dec-24,"39,319,632","1,048,352",2.70%,"28,859,638",5.10%,"12,517,653"
Nov-24,"38,271,280","167,077",0.40%,"27,470,687",3.20%,"11,847,847"
Oct-24,"38,104,203","-263,074",-0.70%,"26,629,014",-0.90%,"11,921,071"
Sep-24,"38,367,277","1,100,953",3.00%,"26,868,990",-0.40%,"12,270,218"
Aug-24,"37,266,324","657,292",1.80%,"26,968,657",-1.00%,"12,534,703"
Jul-24,"36,609,032","-319,489",-0.90%,"27,237,647",2.10%,"11,660,464"
Jun-24,"36,928,521","1,376,194",3.90%,"26,686,320",3.70%,"11,711,482"
May-24,"35,552,327","-747,792",-2.10%,"25,743,653",0.50%,"11,135,460"
Apr-24,"36,300,119","-54,274",-0.10%,"25,619,541",-1.10%,"11,594,618"
Mar-24,"36,354,393","2,961,261",8.90%,"25,892,348",4.60%,"11,795,523"
Feb-24,"33,393,132","-282,097",-0.80%,"24,764,753",-2.10%,"11,119,656"
Jan-24,"33,675,229","1,005,921",3.10%,"25,295,361",3.50%,"11,582,167"
Dec-23,"32,669,308","566,686",1.80%,"24,437,669",6.80%,"10,499,708"
Nov-23,"32,102,622","737,781",2.40%,"22,872,177",2.80%,"9,873,463"
Oct-23,"31,364,841","92,520",0.30%,"22,243,182",-0.50%,"9,941,150"
Sep-23,"31,272,321","1,383,725",4.60%,"22,349,223",-0.30%,"9,966,162"
Aug-23,"29,888,596","-453,133",-1.50%,"22,409,686",-2.60%,"9,713,667"
Jul-23,"30,341,729","-1,818,269",-5.70%,"23,010,104",-1.70%,"9,110,225"
Jun-23,"32,159,998","-102,024",-0.30%,"23,406,348",-1.20%,"8,917,565"
May-23,"32,262,022","-1,135,544",-3.40%,"23,697,798",-2.00%,"9,533,835"
Apr-23,"33,397,566","-200,954",-0.60%,"24,174,559",0.30%,"9,903,896"
Mar-23,"33,598,520","439,510",1.30%,"24,110,667",-1.40%,"10,130,965"
Feb-23,"33,159,010","80,047",0.20%,"24,454,210",-0.80%,"10,143,376"
Jan-23,"33,078,963","1,476,037",4.70%,"24,648,705",2.20%,"10,284,568"
Dec-22,"31,602,926","-303,474",-1.00%,"24,127,910",6.30%,"9,385,267"
Nov-22,"31,906,400","1,666,522",5.50%,"22,696,446",4.70%,"9,423,733"
Oct-22,"30,239,878","1,119,127",3.80%,"21,679,906",,"8,920,824"
Sep-22,"29,120,751","1,426,070",5.10%,,,"8,627,087"
Aug-22,"27,694,681","16,352",0.10%,,,"8,177,516"
Jul-22,"27,678,329","-415,672",-1.50%,,,"8,166,327"
Jun-22,"28,094,001","-274,562",-1.00%,,,"8,318,044"
May-22,"28,368,563","-1,618,118",-5.40%,,,"8,365,713"
Apr-22,"29,986,681","217,303",0.70%,,,"8,923,219"
Mar-22,"29,769,378","164,541",0.60%,,,"9,245,888"
Feb-22,"29,604,837","403,663",1.40%,,,"9,278,977"
Jan-22,"29,201,174","2,033,949",7.50%,,,"8,505,375"
Dec-21,"27,167,225","-217,734",-0.80%,,,"7,670,244"
Nov-21,"27,384,959","804,964",3.00%,,,"7,835,499"
Oct-21,"26,579,995","631,302",2.40%,,,"7,631,765"
Sep-21,"25,948,693","803,523",3.20%,,,"7,455,143"
Aug-21,"25,145,170","59,555",0.20%,,,"7,034,555"
Jul-21,"25,085,615","-116,612",-0.50%,,,"7,115,258"
Jun-21,"25,202,227","-263,528",-1.00%,,,"6,959,948"
May-21,"25,465,755","-1,457,171",-5.40%,,,"7,011,134"
Apr-21,"26,922,926","72,115",0.30%,,,"7,370,871"
Mar-21,"26,850,811","449,368",1.70%,,,"7,389,210"
Feb-21,"26,401,443","975,627",3.80%,,,"7,444,976"
Jan-21,"25,425,816","621,668",2.50%,,,"7,413,419"
Dec-20,"24,804,148","869,647",3.60%,,,"7,170,724"
Nov-20,"23,934,501","739,982",3.20%,,,"6,738,766"
Oct-20,"23,194,519","1,220,680",5.60%,,,"6,244,411"
Sep-20,"21,973,839","1,099,935",5.30%,,,"6,086,375"
Aug-20,"20,873,904","27,617",0.10%,,,"5,912,438"
Jul-20,"20,846,287","-788,474",-3.60%,,,"6,124,183"
Jun-20,"21,634,761","-1,880,626",-8.00%,,,"6,098,710"
May-20,"23,515,387","-1,020,536",-4.20%,,,"6,862,591"
Apr-20,"24,535,923","900,722",3.80%,,,"8,171,592"
Mar-20,"23,635,201","4,527,398",23.70%,,,"7,248,887"
Feb-20,"19,107,803","772,895",4.20%,,,"6,079,346"
Jan-20,"18,334,908","734,166",4.20%,,,"5,742,563"
