#,Name,Current,24h Peak,All-Time Peak,,
1,Counter-Strike 2,"1,317,589","1,665,339","1,862,531",,
2,PUBG: BATTLEGROUNDS,"521,168","748,345","3,257,248",,
3,Dota 2,"420,108","552,027","1,295,114",,
4,Bongo Cat,"157,394","162,264","166,768",,
5,Apex Legends,"143,735","185,896","624,473",,
6,Wallpaper Engine,"106,298","112,370","150,375",,
7,NARAKA: BLADEPOINT,"105,705","158,912","385,770",,
8,Banana,"104,146","112,492","917,272",,
9,Rust,"102,593","120,599","262,284",,
10,Monster Hunter Wilds,"100,012","176,526","1,384,608",,
11,Delta Force,"92,625","116,726","131,264",,
12,The Elder Scrolls IV: Oblivion Remastered,"83,670","178,010","190,119",,
13,Marvel Rivals,"79,713","180,193","644,269",,
14,Source SDK Base 2007,"69,747","115,704","251,292",,
15,Baldur's Gate 3,"68,469","113,369","875,343",,
16,Schedule I,"67,546","141,217","459,075",,
17,Last Epoch,"66,495","92,139","264,708",,
18,Stardew Valley,"65,663","89,530","236,614",,
19,Grand Theft Auto V Legacy,"65,660","77,003","364,548",,
20,War Thunder,"63,841","75,098","121,318",,
21,Path of Exile 2,"59,452","78,609","578,569",,
22,Spacewar,"53,296","72,549","138,416",,
23,Grand Theft Auto V Enhanced,"52,958","67,224","187,059",,
24,Clair Obscur: Expedition 33,"49,903","51,922","51,922",,
25,Football Manager 2024,"48,680","61,771","89,478",,
26,R.E.P.O.,"48,659","106,405","271,571",,
27,Tom Clancy's Rainbow Six Siege,"48,092","73,480","201,933",,
28,Team Fortress 2,"46,591","50,288","253,997",,
29,Call of Duty®,"45,770","84,857","491,670",,
30,Don't Starve Together,"44,371","55,805","115,925",,
31,EA SPORTS FC 25,"43,576","63,539","110,026",,
32,Hearts of Iron IV,"41,142","45,355","93,196",,
33,Warframe,"40,937","48,347","189,837",,
34,Crosshair X,"39,890","50,662","89,033",,
35,Dead by Daylight,"38,454","54,604","105,093",,
36,Once Human,"36,720","43,081","231,668",,
37,Red Dead Redemption 2,"36,470","46,210","99,993",,
38,ELDEN RING,"33,874","43,461","953,426",,
39,Crab Game,"32,180","32,408","75,967",,
40,DayZ,"31,864","52,073","78,937",,
41,tModLoader,"31,665","37,271","56,583",,
42,Overwatch® 2,"29,940","45,294","75,608",,
43,Sid Meier's Civilization VI,"29,725","33,621","162,657",,
44,VRChat,"27,935","39,529","66,824",,
45,Terraria,"27,300","34,912","489,886",,
46,NBA 2K25,"27,112","35,010","44,351",,
47,Euro Truck Simulator 2,"26,829","38,577","69,754",,
48,Waifu,"26,368","27,528","27,693",,
49,RimWorld,"24,367","27,772","62,257",,
50,ARK: Survival Evolved,"24,030","29,364","248,405",,
51,7 Days to Die,"23,850","31,347","125,419",,
52,PAYDAY 2,"23,625","24,335","247,709",,
53,The Sims™ 4,"23,601","32,033","96,328",,
54,Street Fighter™ 6,"23,469","30,387","70,573",,
55,Geometry Dash,"23,441","29,228","88,346",,
56,Palworld,"22,967","28,712","2,101,867",,
57,Yu-Gi-Oh! Master Duel,"22,614","26,491","262,689",,
58,Cyberpunk 2077,"22,528","28,500","1,054,388",,
59,Black Myth: Wukong,"22,460","26,985","2,415,714",,
60,Limbus Company,"21,507","23,686","69,372",,
61,The Binding of Isaac: Rebirth,"21,271","25,442","70,701",,
62,Sultan's Game,"21,240","27,335","46,106",,
63,MahjongSoul,"21,107","30,612","39,075",,
64,Monster Hunter: World,"20,773","27,405","334,684",,
65,Mount & Blade II: Bannerlord,"19,799","23,968","248,216",,
66,The Elder Scrolls V: Skyrim Special Edition,"19,104","27,909","69,906",,
67,OBS Studio,"18,854","23,701","26,562",,
68,Total War: WARHAMMER III,"18,729","23,648","166,754",,
69,HELLDIVERS™ 2,"18,601","27,589","458,709",,
70,Slay the Spire,"18,562","22,194","33,086",,
71,Garry's Mod,"17,926","26,410","73,863",,
72,Unturned,"17,828","17,828","112,703",,
73,Lost Ark,"17,651","21,725","1,325,305",,
74,Soundpad,"17,562","26,109","40,096",,
75,Forza Horizon 5,"17,328","17,328","81,096",,
76,Farming Simulator 25,"16,879","30,045","135,970",,
77,Legends of Idleon MMO,"16,719","19,063","19,319",,
78,Age of Empires II: Definitive Edition,"16,707","21,402","38,725",,
79,SCUM,"16,704","19,846","68,322",,
80,THRONE AND LIBERTY,"16,530","29,864","336,300",,
81,BeamNG.drive,"16,311","21,899","30,649",,
82,Project Zomboid,"15,608","20,799","65,505",,
83,Left 4 Dead 2,"15,494","25,753","162,399",,
84,Split Fiction,"15,469","26,069","259,003",,
85,Destiny 2,"15,409","22,932","316,750",,
86,Kingdom Come: Deliverance II,"15,342","22,078","256,206",,
87,Dark and Darker,"15,316","18,777","57,164",,
88,Black Desert,"15,203","16,160","60,395",,
89,Valheim,"15,156","29,051","502,387",,
90,ARK: Survival Ascended,"15,043","18,191","98,047",,
91,Crusader Kings III,"15,015","18,843","98,872",,
92,VTube Studio,"14,931","18,162","21,472",,
93,Factorio,"14,832","20,745","118,674",,
94,FINAL FANTASY XIV Online,"14,473","26,409","95,150",,
95,MIR4,"14,445","15,084","97,173",,
96,Europa Universalis IV,"14,194","17,877","48,165",,
97,Russian Fishing 4,"14,193","16,569","24,544",,
98,Hunt: Showdown 1896,"13,767","20,302","60,124",,
99,Satisfactory,"13,663","20,068","186,158",,
100,Squad,"13,570","14,760","38,573",,
