#,Name,Current,Apr '25 Peak,All-Time Peak,Tags,,,,,
1,Counter-Strike 2,1195885,1862531,1862531,FPS,Shooter, Multiplayer,Competitive, Action,
2,Dota 2,455704,636445,1295114,Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based
3,PUBG: BATTLEGROUNDS,426521,861757,3257248,Survival, Shooter, Battle Royale, Multiplayer, FPS, PvP
4,Bongo Cat,156207,168683,168683,Casual, Cats, Clicker, Cute, Free to Play, Idler
5,Apex Legends,133802,196880,624473,Free to Play, Battle Royale, Multiplayer, FPS, Shooter, First-Person
6,Rust,111978,188376,262284,Survival, Crafting, Multiplayer, Open World,,
7,Wallpaper Engine,104932,138139,150375,Mature, Utilities, Anime, Software, Design & Illustration,
8,The Elder Scrolls IV: Oblivion Remastered,98943,190119,190119,RPG, Open World, Adventure, Fantasy, Exploration,
9,Monster Hunter Wilds,91446,555797,1384608,Hunting, Action, Multiplayer, Online Co-Op, Co-op,
10,Delta Force,88014,123894,131264,Free to Play, FPS, Multiplayer, Extraction Shooter, Singleplayer,
11,Banana,87828,123120,917272,Free to Play, Clicker, Singleplayer,2D, Casual,
12,NARAKA: BLADEPOINT,81136,206791,385770,Battle Royale, Multiplayer, Martial Arts, Mature, PvP,
13,Marvel Rivals,80201,315196,644269,Free to Play, Multiplayer, Hero Shooter, Third-Person Shooter, Superhero, PvP
14,Baldur's Gate 3,79315,169267,875343,RPG, Character Customization, Choices Matter, Story Rich,,
15,Schedule I,75205,459075,459075,Simulation, Co-op, Crime, Multiplayer, Open World,
16,Last Epoch,72839,150591,264708,Action RPG, Loot, Hack and Slash, RPG, Isometric,
17,Grand Theft Auto V Legacy,70947,99490,364548,Open World, Action, Multiplayer, Crime, Automobile Sim,
18,Clair Obscur: Expedition 33,70714,71225,71225,Turn-Based Combat, Fantasy, Story Rich, Exploration,,
19,War Thunder,67002,97913,121318,Free to Play, Simulation, Vehicular Combat, Combat, World War II, Flight
20,Stardew Valley,66754,120028,236614,Farming Sim, Pixel Graphics, Multiplayer, Life Sim, RPG,
21,Path of Exile 2,66314,246345,578569,Action RPG, Hack and Slash, Souls-like, RPG, Loot,
22,Source SDK Base 2007,64366,129245,251292,,,,,,
23,Spacewar,57468,131246,138416,,,,,,
24,EA SPORTS FC 25,55294,85019,110026,Sports, Simulation, Football (Soccer), Controller,,
25,Grand Theft Auto V Enhanced,52775,94288,187059,Action, Open World, Multiplayer, Crime, Mature, Third Person
26,Football Manager 2024,52601,68734,89478,Simulation, Sports, Management, Football (Soccer),,
27,R.E.P.O.,50363,224298,271571,Horror, Online Co-Op, Comedy, Multiplayer, Co-op, Physics
28,Call of Duty®,47532,139687,491670,FPS, Multiplayer, Shooter, Singleplayer, Action, Military
29,Hearts of Iron IV,47052,62593,93196,Strategy, World War II, Grand Strategy, War, Historical,
30,Tom Clancy's Rainbow Six Siege,46342,107312,201933,FPS, PvP, eSports, Multiplayer, Tactical, Shooter
31,Team Fortress 2,46143,55728,253997,Free to Play, Hero Shooter, Multiplayer, FPS, Shooter,
32,Warframe,44985,71082,189837,Free to Play, Action RPG, Looter Shooter,,,
33,Crosshair X,44013,61403,89033,Action, Indie, Adventure, Utilities, Shooter, Software
34,Don't Starve Together,43019,70451,115925,Survival, Open World Survival Craft, Multiplayer, Co-op, Open World,
